Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 7C:B0:73:FE:D3:B2 from E8:48:B8:C8:20:00 (data size 640) ...
640 bytes from 7C:B0:73:FE:D3:B2 id 8 time 100.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 9 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 10 time 47.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 11 time 64.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 12 time 47.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 13 time 103.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 14 time 71.81ms
640 bytes from 7C:B0:73:FE:D3:B2 id 15 time 24.20ms
640 bytes from 7C:B0:73:FE:D3:B2 id 16 time 87.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 17 time 76.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 18 time 111.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 19 time 24.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 20 time 87.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 21 time 112.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 22 time 75.77ms
640 bytes from 7C:B0:73:FE:D3:B2 id 23 time 76.20ms
640 bytes from 7C:B0:73:FE:D3:B2 id 24 time 76.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 25 time 111.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 26 time 23.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 27 time 88.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 28 time 79.71ms
640 bytes from 7C:B0:73:FE:D3:B2 id 29 time 80.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 30 time 51.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 31 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 32 time 88.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 33 time 76.21ms
640 bytes from 7C:B0:73:FE:D3:B2 id 34 time 71.77ms
640 bytes from 7C:B0:73:FE:D3:B2 id 35 time 76.23ms
640 bytes from 7C:B0:73:FE:D3:B2 id 36 time 116.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 37 time 71.85ms
640 bytes from 7C:B0:73:FE:D3:B2 id 38 time 76.16ms
640 bytes from 7C:B0:73:FE:D3:B2 id 39 time 71.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 40 time 76.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 41 time 75.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 42 time 83.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 43 time 71.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 44 time 84.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 45 time 75.98ms
640 bytes from 7C:
DoS attack stopped.
B0:73:FE:D3:B2 id 46 time 52.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 47 time 79.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 48 time 52.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 49 time 76.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 50 time 51.92ms
640 bytes from 7C:B0:73:FE:D3:B2 id 51 time 56.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 52 time 80.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 53 time 76.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 54 time 55.75ms
640 bytes from 7C:B0:73:FE:D3:B2 id 0 time 60.23ms
640 bytes from 7C:B0:73:FE:D3:B2 id 1 time 71.94ms
640 bytes from 7C:B0:73:FE:D3:B2 id 2 time 72.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 3 time 51.80ms
640 bytes from 7C:B0:73:FE:D3:B2 id 4 time 88.21ms
640 bytes from 7C:B0:73:FE:D3:B2 id 5 time 67.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 6 time 52.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 7 time 51.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 8 time 88.06ms
640 bytes from 7C:B0:73:FE:D3:B2 id 9 time 75.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 10 time 80.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 11 time 51.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 12 time 88.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 13 time 55.72ms
640 bytes from 7C:B0:73:FE:D3:B2 id 14 time 72.20ms
640 bytes from 7C:B0:73:FE:D3:B2 id 15 time 60.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 16 time 75.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 17 time 51.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 18 time 52.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 19 time 79.82ms
640 bytes from 7C:B0:73:FE:D3:B2 id 20 time 60.07ms
640 bytes from 7C:B0:73:FE:D3:B2 id 21 time 56.08ms
640 bytes from 7C:B0:73:FE:D3:B2 id 22 time 51.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 23 time 60.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 24 time 56.01ms
