Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 94:52:44:87:83:be from AC:3E:B1:75:7C:031(data size 640) ...
640 bytes from 94:52:44:87:83:be id 48 time 31.99ms
640 bytes from 94:52:44:87:83:be id 49 time 40.12ms
640 bytes from 94:52:44:87:83:be id 50 time 31.82ms
640 bytes from 94:52:44:87:83:be id 51 time 40.17ms
640 bytes from 94:52:44:87:83:be id 52 time 39.96ms
640 bytes from 94:52:44:87:83:be id 53 time 52.00ms
640 bytes from 94:52:44:87:83:be id 54 time 51.85ms
640 bytes from 94:52:44:87:83:be id 0 time 44.11ms
640 bytes from 94:52:44:87:83:be id 1 time 39.91ms
640 bytes from 94:52:44:87:83:be id 2 time 44.06ms
640 bytes from 94:52:44:87:83:be id 3 time 43.95ms
640 bytes from 94:52:44:87:83:be id 4 time 43.97ms
640 bytes from 94:52:44:87:83:be id 5 time 35.88ms
640 bytes from 94:52:44:87:83:be id 6 time 40.11ms
640 bytes from 94:52:44:87:83:be id 7 time 40.03ms
640 bytes from 94:52:44:87:83:be id 8 time 47.69ms
640 bytes from 94:52:44:87:83:be id 9 time 48.12ms
640 bytes from 94:52:44:87:83:be id 10 time 43.96ms
640 bytes from 94:52:44:87:83:be id 11 time 52.14ms
640 bytes from 94:52:44:87:83:be id 12 time 43.79ms
640 bytes from 94:52:44:87:83:be id 13 time 44.13ms
640 bytes from 94:52:44:87:83:be id 14 time 48.07ms
640 bytes from 94:52:44:87:83:be id 15 time 47.81ms
640 bytes from 94:52:44:87:83:be id 16 time 48.18ms
640 bytes from 94:52:44:87:83:be id 17 time 67.94ms
640 bytes from 94:52:44:87:83:be id 18 time 28.03ms
640 bytes from 94:52:44:87:83:be id 19 time 51.87ms
640 bytes from 94:52:44:87:83:be id 20 time 35.95ms
640 bytes from 94:52:44:87:83:be id 21 time 40.01ms
640 bytes from 94:52:44:87:83:be id 22 time 44.11ms
640 bytes from 94:52:44:87:83:be id 23 time 43.86ms
640 bytes from 94:52:44:87:83:be id 24 time 32.01ms
640 bytes from 94:52:44:87:83:be id 25 time 43.87ms
640 bytes from 94:52:44:87:83:be id 26 time 40.10ms
640 bytes from 94:52:44:87:83:be id 27 time 43.98ms
640 bytes from 94:52:44:87:83:be id 28 time 48.08ms
640 bytes from 94:52:44:87:83:be id 29 time 43.91ms
640 bytes from 94:52:44:87:83:be id 30 time 52.11ms
640 bytes from 94:52:44:87:83:be id 31 time 31.87ms
640 bytes from 94:52:44:87:83:be id 32 time 44.10ms
640 bytes from 94:52:44:87:83:be id 33 time 47.83ms
640 bytes from 94:52:44:87:83:be id 34 time 40.16ms
640 bytes from 94:52:44:87:83:be id 35 time 51.83ms
640 bytes from 94:52:44:87:83:be id 36 time 48.03ms
640 bytes from 94:52:44:87:83:be id 37 time 47.78ms
640 bytes from 94:52:44:87:83:be id 38 time 52.12ms
640 bytes from 94:52:44:87:83:be id 39 time 48.00ms
640 bytes from 94:52:44:87:83:be id 40 time 48.00ms
640 bytes from 94:52:44:87:83:be id 41 time 40.10ms
640 bytes from 94:52:44:87:83:be id 42 time 43.93ms
640 bytes from 94:52:44:87:83:be id 43 time 59.93ms
640 bytes from 94:52:44:87:83:be id 44 time 40.04ms
640 bytes from 94:52:44:87:83:be id 45 time 44.12ms
640 bytes from 94:52:44:87:83:be id 46 time 63.95ms
640 bytes from 94:52:44:87:83:be id 47 time 35.99ms
640 bytes from 94:52:44:87:83:be id 48 time 40.02ms
640 bytes from 94:52:44:87:83:be id 49 time 31.89ms
640 bytes from 94:52:44:87:83:be id 50 time 28.08ms
640 bytes from 94:52:44:87:83:be id 51 time 43.92ms
640 bytes from 94:52:44:87:83:be id 52 time 39.99ms
640 bytes from 94:52:44:87:83:be id 53 time 48.05ms
640 bytes from 94:52:44:87:83:be id 54 time 51.93ms
640 bytes from 94:52:44:87:83:be id 0 time 48.04ms
640 bytes from 94:52:44:87:83:be id 1 time 43.86ms
640 bytes from 94:52:44:87:83:be id 2 time 48.11ms
640 bytes from 94:52:44:87:83:be id 3 time 35.88ms
640 bytes from 94:52:44:87:83:be id 4 time 44.08ms
640 bytes from 94:52:44:87:83:be id 5 time 47.89ms
640 bytes from 94:52:44:87:83:be id 6 time 44.01ms
640 bytes from 94:52:44:87:83:be id 7 time 51.94ms
640 bytes from 94:52:44:87:83:be id 8 time 39.95ms
640 bytes from 94:52:44:87:83:be id 9 time 51.94ms
640 bytes from 94:52:44:87:83:be id 10 time 43.88ms
640 bytes from 94:52:44:87:83:be id 11 time 44.18ms
640 bytes from 94:52:44:87:83:be id 12 time 43.92ms
640 bytes from 94:52:44:87:83:be id 13 time 43.86ms
640 bytes from 94:52:44:87:83:be id 14 time 48.29ms
640 bytes from 94:52:44:87:83:be id 15 time 39.90ms
640 bytes from 94:52:44:87:83:be id 16 time 36.00ms
640 bytes from 94:52:44:87:83:be id 17 time 44.01ms
640 bytes from 94:52:44:87:83:be id 18 time 47.88ms
640 bytes from 94:52:44:87:83:be id 19 time 44.12ms
640 bytes from 94:52:44:87:83:be id 20 time 55.86ms
640 bytes from 94:52:44:87:83:be id 21 time 28.01ms
640 bytes from 94:52:44:87:83:be id 22 time 48.06ms
640 bytes from 94:52:44:87:83:be id 23 time 43.87ms
640 bytes from 94:52:44:87:83:be id 24 time 44.11ms
640 bytes from 94:52:44:87:83:be id 25 time 43.91ms
640 bytes from 94:52:44:87:83:be id 26 time 52.07ms
640 bytes from 94:52:44:87:83:be id 27 time 47.92ms
640 bytes from 94:52:44:87:83:be id 28 time 44.00ms
640 bytes from 94:52:44:87:83:be id 29 time 48.04ms
640 bytes from 94:52:44:87:83:be id 30 time 39.92ms
640 bytes from 94:52:44:87:83:be id 31 time 47.92ms
640 bytes from 94:52:44:87:83:be id 32 time 44.09ms
640 bytes from 94:52:44:87:83:be id 33 time 35.98ms
640 bytes from 94:52:44:87:83:be id 34 time 44.02ms
640 bytes from 94:52:44:87:83:be id 35 time 43.88ms
640 bytes from 94:52:44:87:83:be id 36 time 51.86ms
640 bytes from 94:52:44:87:83:be id 37 time 36.19ms
640 bytes from 94:52:44:87:83:be id 38 time 43.80ms
640 bytes from 94:52:44:87:83:be id 39 time 48.00ms
640 bytes from 94:52:44:87:83:be id 40 time 48.02ms
640 bytes from 94:52:44:87:83:be id 41 time 43.99ms
640 bytes from 94:52:44:87:83:be id 42 time 40.07ms
640 bytes from 94:52:44:87:83:be id 43 time 43.92ms
640 bytes from 94:52:44:87:83:be id 44 time 44.15ms
640 bytes from 94:52:44:87:83:be id 45 time 47.87ms
640 bytes from 94:52:44:87:83:be id 46 time 48.09ms
640 bytes from 94:52:44:87:83:be id 47 time 39.87ms
640 bytes from 94:52:44:87:83:be id 48 time 48.12ms
640 bytes from 94:52:44:87:83:be id 49 time 47.88ms
640 bytes from 94:52:44:87:83:be id 50 time 48.05ms
640 bytes from 94:52:44:87:83:be id 51 time 31.94ms
640 bytes from 94:52:44:87:83:be id 52 time 36.08ms
640 bytes from 94:52:44:87:83:be id 53 time 47.86ms
640 bytes from 94:52:44:87:83:be id 54 time 52.12ms
640 bytes from 94:52:44:87:83:be id 0 time 27.88ms
640 bytes from 94:52:44:87:83:be id 1 time 40.08ms
640 bytes from 94:52:44:87:83:be id 2 time 36.00ms
640 bytes from 94:52:44:87:83:be id 3 time 51.96ms
640 bytes from 94:52:44:87:83:be id 4 time 35.86ms
640 bytes from 94:52:44:87:83:be id 5 time 48.11ms
640 bytes from 94:52:44:87:83:be id 6 time 47.80ms
640 bytes from 94:52:44:87:83:be id 7 time 40.20ms
640 bytes from 94:52:44:87:83:be id 8 time 47.78ms
640 bytes from 94:52:44:87:83:be id 9 time 44.14ms
640 bytes from 94:52:44:87:83:be id 10 time 47.85ms
640 bytes from 94:52:44:87:83:be id 11 time 47.98ms
640 bytes from 94:52:44:87:83:be id 12 time 44.02ms
640 bytes from 94:52:44:87:83:be id 13 time 47.99ms
640 bytes from 94:52:44:87:83:be id 14 time 40.03ms
640 bytes from 94:52:44:87:83:be id 15 time 51.86ms
640 bytes from 94:52:44:87:83:be id 16 time 48.18ms
640 bytes from 94:52:44:87:83:be id 17 time 48.03ms
640 bytes from 94:52:44:87:83:be id 18 time 47.94ms
640 bytes from 94:52:44:87:83:be id 19 time 51.91ms
640 bytes from 94:52:44:87:83:be id 20 time 48.12ms
640 bytes from 94:52:44:87:83:be id 21 time 43.85ms
640 bytes from 94:52:44:87:83:be id 22 time 60.10ms
640 bytes from 94:52:44:87:83:be id 23 time 35.90ms
640 bytes from 94:52:44:87:83:be id 24 time 48.09ms
640 bytes from 94:52:44:87:83:be id 25 time 39.87ms
640 bytes from 94:52:44:87:83:be id 26 time 56.09ms
